,Old Name,New Name,Flag system,Name Plot
271,mean_everywhere_var_3_time_2,mn_ts_v3_t2,0,mn_ts_v3_t2
272,mean_everywhere_var_4_time_2,mn_ts_v4_t2,0,mn_ts_v4_t2
273,mean_everywhere_var_5_time_2,mn_ts_v5_t2,0,mn_ts_v5_t2
274,mean_everywhere_var_6_time_2,mn_ts_v6_t2,0,mn_ts_v6_t2
275,mean_everywhere_var_7_time_2,mn_ts_v7_t2,0,mn_ts_v7_t2
276,mean_everywhere_var_8_time_2,mn_ts_v8_t2,0,mn_ts_v8_t2
277,mean_everywhere_var_9_time_2,mn_ts_v9_t2,0,mn_ts_v9_t2
278,mean_everywhere_var_10_time_2,mn_ts_v10_t2,0,mn_ts_v10_t2
279,mean_everywhere_var_11_time_2,mn_ts_v11_t2,0,mn_ts_v11_t2
280,mean_everywhere_var_12_time_2,mn_ts_v12_t2,0,mn_ts_v12_t2
281,mean_everywhere_var_13_time_2,mn_ts_v13_t2,0,mn_ts_v13_t2
282,mean_everywhere_var_14_time_2,mn_ts_v14_t2,0,mn_ts_v14_t2
283,mean_everywhere_var_15_time_2,mn_ts_v15_t2,0,mn_ts_v15_t2
284,mean_everywhere_var_16_time_2,mn_ts_v16_t2,0,mn_ts_v16_t2
285,mean_everywhere_var_17_time_2,mn_ts_v17_t2,0,mn_ts_v17_t2
286,mean_everywhere_var_18_time_2,mn_ts_v18_t2,0,mn_ts_v18_t2
287,mean_everywhere_var_19_time_2,mn_ts_v19_t2,0,mn_ts_v19_t2
288,mean_everywhere_var_1_time_3,mn_ts_v1_t3,0,mn_ts_v1_t3
289,mean_everywhere_var_2_time_3,mn_ts_v2_t3,0,mn_ts_v2_t3
290,mean_everywhere_var_3_time_3,mn_ts_v3_t3,0,mn_ts_v3_t3
291,mean_everywhere_var_4_time_3,mn_ts_v4_t3,0,mn_ts_v4_t3
292,mean_everywhere_var_5_time_3,mn_ts_v5_t3,0,mn_ts_v5_t3
293,mean_everywhere_var_6_time_3,mn_ts_v6_t3,0,mn_ts_v6_t3
294,mean_everywhere_var_7_time_3,mn_ts_v7_t3,0,mn_ts_v7_t3
295,mean_everywhere_var_8_time_3,mn_ts_v8_t3,0,mn_ts_v8_t3
296,mean_everywhere_var_9_time_3,mn_ts_v9_t3,0,mn_ts_v9_t3
297,mean_everywhere_var_10_time_3,mn_ts_v10_t3,0,mn_ts_v10_t3
298,mean_everywhere_var_11_time_3,mn_ts_v11_t3,0,mn_ts_v11_t3
299,mean_everywhere_var_12_time_3,mn_ts_v12_t3,0,mn_ts_v12_t3
300,mean_everywhere_var_13_time_3,mn_ts_v13_t3,0,mn_ts_v13_t3
301,mean_everywhere_var_14_time_3,mn_ts_v14_t3,0,mn_ts_v14_t3
302,mean_everywhere_var_15_time_3,mn_ts_v15_t3,0,mn_ts_v15_t3
303,mean_everywhere_var_16_time_3,mn_ts_v16_t3,0,mn_ts_v16_t3
304,mean_everywhere_var_17_time_3,mn_ts_v17_t3,0,mn_ts_v17_t3
305,mean_everywhere_var_18_time_3,mn_ts_v18_t3,0,mn_ts_v18_t3
306,mean_everywhere_var_19_time_3,mn_ts_v19_t3,0,mn_ts_v19_t3
307,mean_everywhere_var_1_time_4,mn_ts_v1_t4,0,mn_ts_v1_t4
308,mean_everywhere_var_2_time_4,mn_ts_v2_t4,0,mn_ts_v2_t4
309,mean_everywhere_var_3_time_4,mn_ts_v3_t4,0,mn_ts_v3_t4
310,mean_everywhere_var_4_time_4,mn_ts_v4_t4,0,mn_ts_v4_t4
311,mean_everywhere_var_5_time_4,mn_ts_v5_t4,0,mn_ts_v5_t4
312,mean_everywhere_var_6_time_4,mn_ts_v6_t4,0,mn_ts_v6_t4
313,mean_everywhere_var_7_time_4,mn_ts_v7_t4,0,mn_ts_v7_t4
314,mean_everywhere_var_8_time_4,mn_ts_v8_t4,0,mn_ts_v8_t4
315,mean_everywhere_var_9_time_4,mn_ts_v9_t4,0,mn_ts_v9_t4
316,mean_everywhere_var_10_time_4,mn_ts_v10_t4,0,mn_ts_v10_t4
317,mean_everywhere_var_11_time_4,mn_ts_v11_t4,0,mn_ts_v11_t4
318,mean_everywhere_var_12_time_4,mn_ts_v12_t4,0,mn_ts_v12_t4
319,mean_everywhere_var_13_time_4,mn_ts_v13_t4,0,mn_ts_v13_t4
320,mean_everywhere_var_14_time_4,mn_ts_v14_t4,0,mn_ts_v14_t4
321,mean_everywhere_var_15_time_4,mn_ts_v15_t4,0,mn_ts_v15_t4
322,mean_everywhere_var_16_time_4,mn_ts_v16_t4,0,mn_ts_v16_t4
323,mean_everywhere_var_17_time_4,mn_ts_v17_t4,0,mn_ts_v17_t4
324,mean_everywhere_var_18_time_4,mn_ts_v18_t4,0,mn_ts_v18_t4
325,mean_everywhere_var_19_time_4,mn_ts_v19_t4,0,mn_ts_v19_t4
326,mean_everywhere_var_1_time_5,mn_ts_v1_t5,0,mn_ts_v1_t5
327,mean_everywhere_var_2_time_5,mn_ts_v2_t5,0,mn_ts_v2_t5
328,mean_everywhere_var_3_time_5,mn_ts_v3_t5,0,mn_ts_v3_t5
329,mean_everywhere_var_4_time_5,mn_ts_v4_t5,0,mn_ts_v4_t5
330,mean_everywhere_var_5_time_5,mn_ts_v5_t5,0,mn_ts_v5_t5
